Material Number, Mfr. Material Number, Customer Material Number, Manufacturer, Material Description, In Stock, Quantity, Price Each (USD), Your Price (USD)
70990960,QSM-M7-4-I,,"Festo","Push-in Connector,  1 Port M7 Thread & 1 Port 4mm OD tube,  Blue ring",16,3,"$2.230","$6.69"
70991609,QS-1/4-4,,"Festo","Push-in Connector,  1 Port R 1/4 Thread & 1 Port 4mm OD tube,  Blue ring",18,3,"$2.160","$6.48"
70990789,QSL-1/4-6,,"Festo","Push-in 90 deg Connector,  1 Port R 1/4 Thread & 1 Port 6mm OD tube,  Blue ring",112,3,"$3.500","$10.50"
71007247,PUN-4X0,75-BL,,"Festo","Plastic Tubing,  blue,  1 EA1 Meter,  50M length,  4mmOD,  TUV",1400,50,"$1.460","$73.00"
70614547,335319,,"RS PRO","Foot Switch Bellow Foot Switch PVC Momentary SPST N/O 50 mA @ 24 V IP67",8,1,"$19.140","$19.14"
71823713,8840957,,"RS PRO","LOCKING DC SOCKET 2.1MM",10,3,"$1.640","$4.92"
70645942,5463721,,"RS PRO","Straight Cable Mount BNC Connector 50 Ohm Crimp Term. RG58",99,3,"$2.420","$7.26"


,,,,,,,Total Item Count: 7
